ID,Tokens,Labels
1,A,O
1,search,O
1,for,O
1,long-lived,O
1,proton,B-PARTICLE
1,decaying,O
1,inside,O
1,the,O
1,BaBar,B-DETECTOR
1,detector,O
1,volume,O
1,is,O
1,conducted,O
1,at,O
1,Large,B-FACILITY
1,Hadron,I-FACILITY
1,Collider,I-FACILITY
1,.,O
1,The,O
1,D0,B-EXPERIMENT
1,experiment,I-EXPERIMENT
1,targets,O
1,p-Pb,B-COLLISION
1,collisions,I-COLLISION
1,at,O
1,13.6,B-ENERGY
1,TeV,I-ENERGY
1,and,O
1,requires,O
1,displaced,O
1,vertex,O
1,signatures,O
1,.,O
1,No,O
1,excess,O
1,is,O
1,observed,O
1,over,O
1,the,O
1,Standard,O
1,Model,O
1,background,O
1,.,O
1,Model-independent,O
1,limits,O
1,are,O
1,placed,O
1,on,O
1,the,O
1,production,O
1,cross,O
1,section,O
1,times,O
1,branching,O
1,fraction,O
1,.,O
2,A,O
2,precise,O
2,measurement,O
2,of,O
2,stop,B-PARTICLE
2,squark,I-PARTICLE
2,decay,O
2,branching,O
2,fractions,O
2,is,O
2,performed,O
2,by,O
2,the,O
2,KLOE-2,B-EXPERIMENT
2,experiment,I-EXPERIMENT
2,using,O
2,NA62,B-DETECTOR
2,data,O
2,at,O
2,SPS,B-FACILITY
2,.,O
2,The,O
2,analysis,O
2,uses,O
2,heavy-ion,B-COLLISION
2,collisions,I-COLLISION
2,at,O
2,13,B-ENERGY
2,TeV,I-ENERGY
2,and,O
2,employs,O
2,a,O
2,full,O
2,amplitude,O
2,analysis,O
2,.,O
2,Results,O
2,improve,O
2,upon,O
2,previous,O
2,measurements,O
2,by,O
2,a,O
2,factor,O
2,of,O
2,three,O
2,.,O
2,No,O
2,evidence,O
2,for,O
2,CP,O
2,violation,O
2,is,O
2,observed,O
2,.,O
3,This,O
3,Letter,O
3,reports,O
3,the,O
3,observation,O
3,of,O
3,neutralino,B-PARTICLE
3,production,O
3,in,O
3,association,O
3,with,O
3,electroweak,O
3,bosons,O
3,in,O
3,electron-positron,B-COLLISION
3,collisions,I-COLLISION
3,at,O
3,10.6,B-ENERGY
3,TeV,I-ENERGY
3,.,O
3,The,O
3,MoEDAL,B-DETECTOR
3,detector,O
3,at,O
3,SPS,B-FACILITY
3,is,O
3,used,O
3,in,O
3,the,O
3,TOTEM,B-EXPERIMENT
3,experiment,I-EXPERIMENT
3,analysis,O
3,.,O
3,A,O
3,multivariate,O
3,discriminant,O
3,separates,O
3,signal,O
3,from,O
3,the,O
3,dominant,O
3,muon,B-PARTICLE
3,neutrino,I-PARTICLE
3,background,O
3,.,O
3,The,O
3,signal,O
3,strength,O
3,is,O
3,measured,O
3,with,O
3,a,O
3,relative,O
3,uncertainty,O
3,of,O
300%,12%,O
3,.,O
4,The,O
4,FASER,B-EXPERIMENT
4,experiment,I-EXPERIMENT
4,at,O
4,HERA,B-FACILITY
4,presents,O
4,a,O
4,measurement,O
4,of,O
4,neutrino,B-PARTICLE
4,forward-backward,O
4,asymmetry,O
4,in,O
4,p-Pb,B-COLLISION
4,collisions,I-COLLISION
4,at,O
4,1.96,B-ENERGY
4,TeV,I-ENERGY
4,.,O
4,The,O
4,MoEDAL,B-DETECTOR
4,detector,O
4,provides,O
4,excellent,O
4,lepton,O
4,reconstruction,O
4,efficiency,O
4,.,O
4,Results,O
4,are,O
4,compared,O
4,with,O
4,NNLO,O
4,QCD,O
4,plus,O
4,NLO,O
4,EW,O
4,calculations,O
4,.,O
4,Deviations,O
4,from,O
4,Standard,O
4,Model,O
4,predictions,O
4,are,O
4,below,O
4,1.5,O
4,sigma,O
4,.,O
5,We,O
5,report,O
5,a,O
5,new,O
5,measurement,O
5,of,O
5,the,O
5,charm,B-PARTICLE
5,quark,I-PARTICLE
5,mass,O
5,using,O
5,the,O
5,TOTEM,B-DETECTOR
5,detector,O
5,at,O
5,SPS,B-FACILITY
5,.,O
5,The,O
5,COMPASS,B-EXPERIMENT
5,experiment,I-EXPERIMENT
5,analyses,O
5,pp,B-COLLISION
5,collisions,I-COLLISION
5,data,O
5,at,O
5,8,B-ENERGY
5,TeV,I-ENERGY
5,in,O
5,the,O
5,dilepton,O
5,decay,O
5,channel,O
5,.,O
5,A,O
5,template,O
5,fit,O
5,to,O
5,the,O
5,invariant,O
5,mass,O
5,distribution,O
5,yields,O
5,a,O
5,precision,O
5,of,O
500.00%,0.20%,O
5,.,O
5,This,O
5,represents,O
5,the,O
5,most,O
5,precise,O
5,single-experiment,O
5,measurement,O
5,to,O
5,date,O
5,.,O
6,The,O
6,ALICE,B-EXPERIMENT
6,experiment,I-EXPERIMENT
6,presents,O
6,a,O
6,search,O
6,for,O
6,pair-produced,O
6,strange,B-PARTICLE
6,quark,I-PARTICLE
6,in,O
6,ion-ion,B-COLLISION
6,collisions,I-COLLISION
6,at,O
6,14,B-ENERGY
6,TeV,I-ENERGY
6,with,O
6,the,O
6,HERA-B,B-DETECTOR
6,detector,O
6,at,O
6,RHIC,B-FACILITY
6,.,O
6,Candidate,O
6,events,O
6,require,O
6,at,O
6,least,O
6,four,O
6,jets,O
6,and,O
6,large,O
6,missing,O
6,transverse,O
6,energy,O
6,.,O
6,The,O
6,observed,O
6,yield,O
6,is,O
6,consistent,O
6,with,O
6,the,O
6,Standard,O
6,Model,O
6,background,O
6,estimate,O
6,.,O
6,Exclusion,O
6,limits,O
6,are,O
6,derived,O
6,in,O
6,the,O
6,context,O
6,of,O
6,simplified,O
6,supersymmetric,O
6,models,O
6,.,O
7,A,O
7,differential,O
7,cross-section,O
7,measurement,O
7,of,O
7,positron,B-PARTICLE
7,production,O
7,in,O
7,ion-ion,B-COLLISION
7,collisions,I-COLLISION
7,at,O
7,2.76,B-ENERGY
7,TeV,I-ENERGY
7,is,O
7,presented,O
7,using,O
7,the,O
7,LHCb,B-DETECTOR
7,detector,O
7,.,O
7,The,O
7,analysis,O
7,exploits,O
7,proton-antiproton,B-COLLISION
7,collisions,I-COLLISION
7,data,O
7,collected,O
7,at,O
7,DESY,B-FACILITY
7,during,O
7,the,O
7,LHC,B-FACILITY
7,Run,O
7,2,O
7,period,O
7,.,O
7,The,O
7,NA62,B-EXPERIMENT
7,experiment,I-EXPERIMENT
7,results,O
7,are,O
7,unfolded,O
7,to,O
7,the,O
7,particle,O
7,level,O
7,and,O
7,compared,O
7,to,O
7,Monte,O
7,Carlo,O
7,generators,O
7,.,O
7,NLO+PS,O
7,predictions,O
7,describe,O
7,the,O
7,data,O
7,well,O
7,.,O
8,We,O
8,study,O
8,the,O
8,suppression,O
8,of,O
8,gluon,B-PARTICLE
8,yields,O
8,in,O
8,Pb-Pb,B-COLLISION
8,collisions,I-COLLISION
8,at,O
8,2.76,B-ENERGY
8,TeV,I-ENERGY
8,relative,O
8,to,O
8,electron-positron,B-COLLISION
8,collisions,I-COLLISION
8,using,O
8,the,O
8,MicroBooNE,B-DETECTOR
8,detector,O
8,.,O
8,Data,O
8,from,O
8,the,O
8,SND@LHC,B-EXPERIMENT
8,experiment,I-EXPERIMENT
8,at,O
8,SuperKEKB,B-FACILITY
8,are,O
8,compared,O
8,to,O
8,perturbative,O
8,QCD,O
8,calculations,O
8,including,O
8,nuclear,O
8,effects,O
8,.,O
8,A,O
8,strong,O
8,suppression,O
8,is,O
8,observed,O
8,at,O
8,high,O
8,transverse,O
