ID,Entity,Label
1,Large Hadron Collider,FACILITY
1,p-Pb collisions,COLLISION
1,D0 experiment,EXPERIMENT
1,13.6 TeV,ENERGY
1,proton,PARTICLE
1,BaBar,DETECTOR
1,D0,DETECTOR
2,heavy-ion collisions,COLLISION
2,KLOE-2 experiment,EXPERIMENT
2,stop squark,PARTICLE
2,KLOE-2,DETECTOR
2,13 TeV,ENERGY
2,NA62,DETECTOR
2,SPS,FACILITY
3,electron-positron collisions,COLLISION
3,TOTEM experiment,EXPERIMENT
3,muon neutrino,PARTICLE
3,neutralino,PARTICLE
3,neutrino,PARTICLE
3,electron,PARTICLE
3,positron,PARTICLE
3,10.6 TeV,ENERGY
3,MoEDAL,DETECTOR
3,TOTEM,DETECTOR
3,muon,PARTICLE
3,SPS,FACILITY
4,FASER experiment,EXPERIMENT
4,p-Pb collisions,COLLISION
4,neutrino,PARTICLE
4,1.96 TeV,ENERGY
4,MoEDAL,DETECTOR
4,FASER,DETECTOR
4,HERA,FACILITY
5,COMPASS experiment,EXPERIMENT
5,pp collisions,COLLISION
5,charm quark,PARTICLE
5,COMPASS,DETECTOR
5,TOTEM,DETECTOR
5,8 TeV,ENERGY
5,SPS,FACILITY
6,ion-ion collisions,COLLISION
6,ALICE experiment,EXPERIMENT
6,strange quark,PARTICLE
6,HERA-B,DETECTOR
6,14 TeV,ENERGY
6,ALICE,DETECTOR
6,RHIC,FACILITY
6,HERA,FACILITY
7,proton-antiproton collisions,COLLISION
7,ion-ion collisions,COLLISION
7,NA62 experiment,EXPERIMENT
7,antiproton,PARTICLE
7,positron,PARTICLE
7,2.76 TeV,ENERGY
7,proton,PARTICLE
7,LHCb,DETECTOR
7,NA62,DETECTOR
7,DESY,FACILITY
7,LHC,FACILITY
8,electron-positron collisions,COLLISION
8,SND@LHC experiment,EXPERIMENT
8,Pb-Pb collisions,COLLISION
8,MicroBooNE,DETECTOR
8,SuperKEKB,FACILITY
8,electron,PARTICLE
8,positron,PARTICLE
8,2.76 TeV,ENERGY
8,SND@LHC,DETECTOR
8,gluon,PARTICLE
8,KEK,FACILITY
8,LHC,FACILITY
9,heavy-ion collisions,COLLISION
9,LHCf experiment,EXPERIMENT
9,100 TeV,ENERGY
9,proton,PARTICLE
9,ALICE,DETECTOR
9,LHCf,DETECTOR
9,HERA,FACILITY
9,LHC,FACILITY
10,BaBar experiment,EXPERIMENT
10,Xe-Xe collisions,COLLISION
10,SuperKEKB,FACILITY
10,10.6 TeV,ENERGY
10,gluon,PARTICLE
10,BaBar,DETECTOR
10,NA62,DETECTOR
10,KEK,FACILITY
11,Brookhaven National Laboratory,FACILITY
11,proton-proton collisions,COLLISION
11,KLOE-2 experiment,EXPERIMENT
11,tau lepton,PARTICLE
11,6.5 TeV,ENERGY
11,proton,PARTICLE
11,KLOE-2,DETECTOR
11,ATLAS,DETECTOR
11,7 TeV,ENERGY
12,electron-positron collisions,COLLISION
12,KLOE-2 experiment,EXPERIMENT
12,Xi baryon,PARTICLE
12,electron,PARTICLE
12,positron,PARTICLE
12,6.5 TeV,ENERGY
12,KLOE-2,DETECTOR
12,LHC,FACILITY
13,proton-proton collisions,COLLISION
13,ALICE experiment,EXPERIMENT
13,antiproton,PARTICLE
13,1.96 TeV,ENERGY
13,SND@LHC,DETECTOR
13,proton,PARTICLE
13,ALICE,DETECTOR
13,LHC,FACILITY
14,proton-proton collisions,COLLISION
14,Large Hadron Collider,FACILITY
14,ATLAS experiment,EXPERIMENT
14,antiproton,PARTICLE
14,MicroBooNE,DETECTOR
14,Xi baryon,PARTICLE
14,10.6 TeV,ENERGY
14,proton,PARTICLE
14,ATLAS,DETECTOR
15,ion-ion collisions,COLLISION
15,BaBar experiment,EXPERIMENT
15,Lambda baryon,PARTICLE
15,MicroBooNE,DETECTOR
15,100 TeV,ENERGY
15,BaBar,DETECTOR
15,kaon,PARTICLE
15,DESY,FACILITY
16,proton-proton collisions,COLLISION
16,TOTEM experiment,EXPERIMENT
16,Tevatron,FACILITY
16,W boson,PARTICLE
16,200 GeV,ENERGY
16,proton,PARTICLE
16,KLOE-2,DETECTOR
16,TOTEM,DETECTOR
17,nucleus-nucleus collisions,COLLISION
17,KLOE-2 experiment,EXPERIMENT
17,neutrino,PARTICLE
17,HERA-B,DETECTOR
17,KLOE-2,DETECTOR
17,7 TeV,ENERGY
17,HERA,FACILITY
17,LEP,FACILITY
18,proton-proton collisions,COLLISION
18,MicroBooNE experiment,EXPERIMENT
18,MicroBooNE,DETECTOR
18,electron,PARTICLE
18,900 GeV,ENERGY
18,proton,PARTICLE
18,T2K,DETECTOR
18,KEK,FACILITY
19,SND@LHC experiment,EXPERIMENT
19,pp collisions,COLLISION
19,W boson,PARTICLE
19,SND@LHC,DETECTOR
19,100 TeV,ENERGY
19,FASER,DETECTOR
19,kaon,PARTICLE
19,RHIC,FACILITY
19,LHC,FACILITY
20,Brookhaven National Laboratory,FACILITY
20,proton-antiproton collisions,COLLISION
20,MoEDAL experiment,EXPERIMENT
20,strange quark,PARTICLE
20,antiproton,PARTICLE
20,SND@LHC,DETECTOR
20,proton,PARTICLE
20,MoEDAL,DETECTOR
20,8 TeV,ENERGY
20,LHC,FACILITY
21,ion-ion collisions,COLLISION
21,NA62 experiment,EXPERIMENT
21,charm quark,PARTICLE
21,Tevatron,FACILITY
21,COMPASS,DETECTOR
21,8 TeV,ENERGY
21,NA62,DETECTOR
22,BaBar experiment,EXPERIMENT
22,Xe-Xe collisions,COLLISION
22,strange quark,PARTICLE
22,14 TeV,ENERGY
22,ATLAS,DETECTOR
22,BaBar,DETECTOR
22,KEK,FACILITY
23,Pb-Pb collisions,COLLISION
23,T2K experiment,EXPERIMENT
23,SuperKEKB,FACILITY
23,6.5 TeV,ENERGY
23,kaon,PARTICLE
23,T2K,DETECTOR
23,KEK,FACILITY
23,D0,DETECTOR
24,Brookhaven National Laboratory,FACILITY
24,Au-Au collisions,COLLISION
24,Lambda baryon,PARTICLE
24,D0 experiment,EXPERIMENT
24,5.02 TeV,ENERGY
24,ATLAS,DETECTOR
24,D0,DETECTOR
25,COMPASS experiment,EXPERIMENT
25,p-Pb collisions,COLLISION
25,dark matter,PARTICLE
25,10.6 TeV,ENERGY
25,COMPASS,DETECTOR
25,LHCf,DETECTOR
25,DESY,FACILITY
25,LHC,FACILITY
26,heavy-ion collisions,COLLISION
26,SND@LHC experiment,EXPERIMENT
26,electron neutrino,PARTICLE
26,neutrino,PARTICLE
26,electron,PARTICLE
26,1.96 TeV,ENERGY
26,SND@LHC,DETECTOR
26,HERA-B,DETECTOR
26,RHIC,FACILITY
26,HERA,FACILITY
26,LHC,FACILITY
27,proton-antiproton collisions,COLLISION
27,CDF experiment,EXPERIMENT
27,dark matter,PARTICLE
27,antiproton,PARTICLE
27,200 GeV,ENERGY
27,proton,PARTICLE
27,LHCb,DETECTOR
27,CDF,DETECTOR
27,SPS,FACILITY
27,LHC,FACILITY
28,SLAC National Accelerator Laboratory,FACILITY
28,BaBar experiment,EXPERIMENT
28,Xe-Xe collisions,COLLISION
28,muon neutrino,PARTICLE
28,antiproton,PARTICLE
28,neutrino,PARTICLE
28,200 GeV,ENERGY
28,proton,PARTICLE
28,BaBar,DETECTOR
28,muon,PARTICLE
28,CMS,DETECTOR
29,heavy-ion collisions,COLLISION
29,BaBar experiment,EXPERIMENT
29,dark matter,PARTICLE
29,Tevatron,FACILITY
29,3.5 TeV,ENERGY
29,TOTEM,DETECTOR
29,BaBar,DETECTOR
30,electron-positron collisions,COLLISION
30,Jefferson Laboratory,FACILITY
30,NOvA experiment,EXPERIMENT
30,electron,PARTICLE
30,positron,PARTICLE
30,14 TeV,ENERGY
30,gluon,PARTICLE
30,BaBar,DETECTOR
30,NOvA,DETECTOR
31,ALICE experiment,EXPERIMENT
31,Pb-Pb collisions,COLLISION
31,Lambda baryon,PARTICLE
31,COMPASS,DETECTOR
31,6.5 TeV,ENERGY
31,ALICE,DETECTOR
31,LEP,FACILITY
32,ion-ion collisions,COLLISION
32,FASER experiment,EXPERIMENT
32,Au-Au collisions,COLLISION
32,FASER,DETECTOR
32,8 TeV,ENERGY
32,kaon,PARTICLE
32,LHCf,DETECTOR
32,LEP,FACILITY
32,LHC,FACILITY
33,electron-positron collisions,COLLISION
33,TOTEM experiment,EXPERIMENT
33,Pb-Pb collisions,COLLISION
33,strange quark,PARTICLE
33,electron,PARTICLE
33,positron,PARTICLE
33,1.96 TeV,ENERGY
33,TOTEM,DETECTOR
33,NA62,DETECTOR
33,DESY,FACILITY
34,SLAC National Accelerator Laboratory,FACILITY
34,Au-Au collisions,COLLISION
34,D0 experiment,EXPERIMENT
34,chargino,PARTICLE
34,13 TeV,ENERGY
34,BaBar,DETECTOR
34,D0,DETECTOR
35,MicroBooNE experiment,EXPERIMENT
35,Pb-Pb collisions,COLLISION
35,MicroBooNE,DETECTOR
35,13.6 TeV,ENERGY
35,W boson,PARTICLE
35,BaBar,DETECTOR
35,SPS,FACILITY
36,electron-positron collisions,COLLISION
36,electron neutrino,PARTICLE
36,NOvA experiment,EXPERIMENT
36,neutrino,PARTICLE
36,electron,PARTICLE
36,positron,PARTICLE
36,2.76 TeV,ENERGY
36,SND@LHC,DETECTOR
36,900 GeV,ENERGY
36,NOvA,DETECTOR
36,LHC,FACILITY
37,electron-positron collisions,COLLISION
37,CMS experiment,EXPERIMENT
37,electron,PARTICLE
37,positron,PARTICLE
37,5.02 TeV,ENERGY
37,muon,PARTICLE
37,RHIC,FACILITY
37,CMS,DETECTOR
38,nucleus-nucleus collisions,COLLISION
38,NA62 experiment,EXPERIMENT
38,13.6 TeV,ENERGY
38,W boson,PARTICLE
38,LHCb,DETECTOR
38,NA62,DETECTOR
38,LHC,FACILITY
39,heavy-ion collisions,COLLISION
39,ALICE experiment,EXPERIMENT
39,muon neutrino,PARTICLE
39,neutrino,PARTICLE
39,100 TeV,ENERGY
39,ALICE,DETECTOR
39,FASER,DETECTOR
39,muon,PARTICLE
39,kaon,PARTICLE
39,LHC,FACILITY
40,deep-inelastic scattering,COLLISION
40,D0 experiment,EXPERIMENT
40,J/psi meson,PARTICLE
40,COMPASS,DETECTOR
40,photon,PARTICLE
40,14 TeV,ENERGY
40,LEP,FACILITY
40,D0,DETECTOR
41,MicroBooNE experiment,EXPERIMENT
41,heavy-ion collisions,COLLISION
41,MicroBooNE,DETECTOR
41,SND@LHC,DETECTOR
41,8 TeV,ENERGY
41,kaon,PARTICLE
41,HERA,FACILITY
41,LHC,FACILITY
42,Belle II experiment,EXPERIMENT
42,p-Pb collisions,COLLISION
42,Belle II,DETECTOR
42,6.5 TeV,ENERGY
42,photon,PARTICLE
42,MoEDAL,DETECTOR
42,KEK,FACILITY
43,Au-Au collisions,COLLISION
43,LHCf experiment,EXPERIMENT
43,Omega baryon,PARTICLE
43,6.5 TeV,ENERGY
43,LHCf,DETECTOR
43,CMS,DETECTOR
43,LEP,FACILITY
43,LHC,FACILITY
44,SLAC National Accelerator Laboratory,FACILITY
44,deep-inelastic scattering,COLLISION
44,Belle II experiment,EXPERIMENT
44,dark matter,PARTICLE
44,Belle II,DETECTOR
44,Z boson,PARTICLE
44,900 GeV,ENERGY
44,MoEDAL,DETECTOR
45,Brookhaven National Laboratory,FACILITY
45,heavy-ion collisions,COLLISION
45,MoEDAL experiment,EXPERIMENT
45,tau neutrino,PARTICLE
45,neutrino,PARTICLE
45,3.5 TeV,ENERGY
45,MoEDAL,DETECTOR
45,FASER,DETECTOR
46,ion-ion collisions,COLLISION
46,LHCf experiment,EXPERIMENT
46,charm quark,PARTICLE
46,3.5 TeV,ENERGY
46,LHCb,DETECTOR
46,LHCf,DETECTOR
46,HERA,FACILITY
46,LHC,FACILITY
47,KLOE-2 experiment,EXPERIMENT
47,Xe-Xe collisions,COLLISION
47,electron,PARTICLE
47,900 GeV,ENERGY
47,KLOE-2,DETECTOR
47,ALICE,DETECTOR
47,LEP,FACILITY
48,SLAC National Accelerator Laboratory,FACILITY
48,KLOE-2 experiment,EXPERIMENT
48,Au-Au collisions,COLLISION
48,chargino,PARTICLE
48,COMPASS,DETECTOR
48,0.9 TeV,ENERGY
48,KLOE-2,DETECTOR
49,Large Hadron Collider,FACILITY
49,ATLAS experiment,EXPERIMENT
49,Pb-Pb collisions,COLLISION
49,W boson,PARTICLE
49,200 GeV,ENERGY
49,ATLAS,DETECTOR
49,TOTEM,DETECTOR
50,ion-ion collisions,COLLISION
50,KLOE-2 experiment,EXPERIMENT
50,5.02 TeV,ENERGY
50,MoEDAL,DETECTOR
50,KLOE-2,DETECTOR
50,gluon,PARTICLE
50,LHC,FACILITY
51,proton-antiproton collisions,COLLISION
51,KLOE-2 experiment,EXPERIMENT
51,muon neutrino,PARTICLE
51,antiproton,PARTICLE
51,neutrino,PARTICLE
51,900 GeV,ENERGY
51,proton,PARTICLE
51,KLOE-2,DETECTOR
51,muon,PARTICLE
51,T2K,DETECTOR
51,SPS,FACILITY
52,SLAC National Accelerator Laboratory,FACILITY
52,proton-proton collisions,COLLISION
52,CDF experiment,EXPERIMENT
52,J/psi meson,PARTICLE
52,proton,PARTICLE
52,7 TeV,ENERGY
52,CDF,DETECTOR
52,T2K,DETECTOR
53,Pb-Pb collisions,COLLISION
53,LHCf experiment,EXPERIMENT
53,neutrino,PARTICLE
53,positron,PARTICLE
53,13.6 TeV,ENERGY
53,HERA-B,DETECTOR
53,LHCf,DETECTOR
53,HERA,FACILITY
53,LEP,FACILITY
53,LHC,FACILITY
54,Au-Au collisions,COLLISION
54,NOvA experiment,EXPERIMENT
54,neutrino,PARTICLE
54,SND@LHC,DETECTOR
54,7 TeV,ENERGY
54,NOvA,DETECTOR
54,HERA,FACILITY
54,LHC,FACILITY
55,ion-ion collisions,COLLISION
55,LHCf experiment,EXPERIMENT
55,stop squark,PARTICLE
55,900 GeV,ENERGY
55,LHCf,DETECTOR
55,T2K,DETECTOR
55,LHC,FACILITY
56,proton-antiproton collisions,COLLISION
56,FASER experiment,EXPERIMENT
56,antiproton,PARTICLE
56,Tevatron,FACILITY
56,W boson,PARTICLE
56,200 GeV,ENERGY
56,proton,PARTICLE
56,FASER,DETECTOR
56,CMS,DETECTOR
57,Au-Au collisions,COLLISION
57,LHCb experiment,EXPERIMENT
57,pp collisions,COLLISION
57,Tevatron,FACILITY
57,D meson,PARTICLE
57,900 GeV,ENERGY
57,TOTEM,DETECTOR
57,LHCb,DETECTOR
57,LHC,FACILITY
58,proton-proton collisions,COLLISION
58,KLOE-2 experiment,EXPERIMENT
58,p-Pb collisions,COLLISION
58,positron,PARTICLE
58,proton,PARTICLE
58,KLOE-2,DETECTOR
58,8 TeV,ENERGY
58,NOvA,DETECTOR
58,LEP,FACILITY
59,electron-positron collisions,COLLISION
59,electron neutrino,PARTICLE
59,FASER experiment,EXPERIMENT
59,neutrino,PARTICLE
59,electron,PARTICLE
59,positron,PARTICLE
59,100 TeV,ENERGY
59,FASER,DETECTOR
59,BaBar,DETECTOR
