ID,Abstract
1,A search for long-lived proton decaying inside the BaBar detector volume is conducted at Large Hadron Collider. The D0 experiment targets p-Pb collisions at 13.6 TeV and requires displaced vertex signatures. No excess is observed over the Standard Model background. Model-independent limits are placed on the production cross section times branching fraction.
2,A precise measurement of stop squark decay branching fractions is performed by the KLOE-2 experiment using NA62 data at SPS. The analysis uses heavy-ion collisions at 13 TeV and employs a full amplitude analysis. Results improve upon previous measurements by a factor of three. No evidence for CP violation is observed.
3,This Letter reports the observation of neutralino production in association with electroweak bosons in electron-positron collisions at 10.6 TeV. The MoEDAL detector at SPS is used in the TOTEM experiment analysis. A multivariate discriminant separates signal from the dominant muon neutrino background. The signal strength is measured with a relative uncertainty of 12%.
4,The FASER experiment at HERA presents a measurement of neutrino forward-backward asymmetry in p-Pb collisions at 1.96 TeV. The MoEDAL detector provides excellent lepton reconstruction efficiency. Results are compared with NNLO QCD plus NLO EW calculations. Deviations from Standard Model predictions are below 1.5 sigma.
5,We report a new measurement of the charm quark mass using the TOTEM detector at SPS. The COMPASS experiment analyses pp collisions data at 8 TeV in the dilepton decay channel. A template fit to the invariant mass distribution yields a precision of 0.2%. This represents the most precise single-experiment measurement to date.
6,The ALICE experiment presents a search for pair-produced strange quark in ion-ion collisions at 14 TeV with the HERA-B detector at RHIC. Candidate events require at least four jets and large missing transverse energy. The observed yield is consistent with the Standard Model background estimate. Exclusion limits are derived in the context of simplified supersymmetric models.
7,A differential cross-section measurement of positron production in ion-ion collisions at 2.76 TeV is presented using the LHCb detector. The analysis exploits proton-antiproton collisions data collected at DESY during the LHC Run 2 period. The NA62 experiment results are unfolded to the particle level and compared to Monte Carlo generators. NLO+PS predictions describe the data well.
8,We study the suppression of gluon yields in Pb-Pb collisions at 2.76 TeV relative to electron-positron collisions using the MicroBooNE detector. Data from the SND@LHC experiment at SuperKEKB are compared to perturbative QCD calculations including nuclear effects. A strong suppression is observed at high transverse momenta. Results are consistent with parton energy loss in a deconfined medium.
9,Elliptic flow measurements of proton in heavy-ion collisions at 100 TeV are reported by the LHCf experiment. Data collected at HERA with the ALICE detector span multiple centrality classes. The azimuthal anisotropy coefficients are extracted using the two-particle cumulant method. Results are compared with viscous hydrodynamic calculations.
10,The NA62 detector at SuperKEKB measures gluon production cross sections differentially in rapidity and transverse momentum. The BaBar experiment uses Xe-Xe collisions at 10.6 TeV corresponding to 5.4 fb-1. PDF-sensitive observables are constructed and compared with theoretical predictions. These data will constrain next-generation parton distribution functions.
11,The KLOE-2 experiment reports a measurement of the tau lepton production cross section in proton-proton collisions at centre-of-mass energies of 7 TeV and 6.5 TeV. Data collected with the ATLAS detector at Brookhaven National Laboratory are used. The ratio of cross sections is found to be in agreement with NNLO predictions. Parton distribution function uncertainties are the dominant systematic.
12,The KLOE-2 experiment measures the transverse momentum spectrum of Xi baryon in electron-positron collisions at 6.5 TeV using the KLOE-2 detector at LHC. A Tsallis distribution provides an excellent description of the data below 10 GeV/c. Comparisons with PYTHIA and HERWIG event generators are presented. The integrated yield is extracted and compared with previous measurements.
13,We present a search for antiproton production in proton-proton collisions at a centre-of-mass energy of 1.96 TeV with the SND@LHC detector. Data were recorded at LHC during Run 2 of the ALICE experiment. No significant excess above the expected background was observed. Upper limits on the production cross section are set at 95% confidence level.
14,We present first evidence for antiproton production via vector boson fusion in proton-proton collisions at 10.6 TeV with the MicroBooNE detector. The ATLAS experiment at Large Hadron Collider selects events with two forward jets and the Xi baryon decay signature. A multivariate technique reduces QCD backgrounds significantly. The observed significance is 3.2 standard deviations.
15,We search for anomalous couplings of the Lambda baryon using the BaBar experiment at DESY. The MicroBooNE detector records ion-ion collisions at 100 TeV and reconstructs the kaon decay topology. Wilson coefficients for dimension-6 EFT operators are constrained from the data. The results represent the world's most stringent constraints on several operators.
16,The KLOE-2 detector at Tevatron is used to measure the inclusive W boson production cross section in proton-proton collisions at 200 GeV. The TOTEM experiment employs a track-based approach to reconstruct the signal. Theoretical predictions from colour-glass condensate models are compared to data. Good agreement is observed at low transverse momentum.
17,A measurement of neutrino pair production cross sections in nucleus-nucleus collisions at 7 TeV is reported. The analysis uses the full dataset collected by the HERA-B detector at LEP. Results from the KLOE-2 experiment are compared with next-to-leading-order QCD calculations. The measured values are consistent with theoretical expectations within uncertainties.
18,The MicroBooNE experiment at KEK reports a search for electron pair production in proton-proton collisions at 900 GeV with the T2K detector. Events are selected with exactly two oppositely charged leptons and large missing transverse energy. A cut-and-count analysis is performed in several signal regions. No significant deviation from the expected background is observed.
19,We report evidence for the associated production of a W boson with a kaon in pp collisions at 100 TeV. The FASER detector at RHIC recorded the dataset used in this analysis. Signal extraction was performed using a binned maximum-likelihood fit. The SND@LHC experiment result establishes this process at 4.2 standard deviations significance.
20,Measurement of strange quark azimuthal correlations in proton-antiproton collisions at 8 TeV is presented by the MoEDAL experiment. The SND@LHC detector at Brookhaven National Laboratory provides high-granularity calorimetric information. Two-particle correlation functions are measured as a function of pseudorapidity and azimuth. Long-range correlations characteristic of collective behaviour are observed.
21,Measurements of charm quark polarisation in ion-ion collisions at 8 TeV are reported by the NA62 experiment. Data collected with the COMPASS detector at Tevatron correspond to 36 fb-1. Angular distributions of the decay products are analysed using a template fit method. Results are consistent with NLO electroweak predictions.
22,"The properties of the strange quark are studied in Xe-Xe collisions at 14 TeV using the ATLAS detector. The BaBar experiment at KEK collected a sample of 10^8 signal candidates. Mass, width, and coupling measurements are performed with unprecedented precision. These results constrain several beyond-Standard-Model scenarios."
23,The kaon was observed in Pb-Pb collisions at 6.5 TeV using the D0 detector at SuperKEKB. The T2K experiment collected data corresponding to an integrated luminosity of 137 fb-1. Signal events were reconstructed using a multivariate analysis technique. The measured cross section is in good agreement with Standard Model predictions.
24,This paper describes the performance of the ATLAS detector during Au-Au collisions data-taking at 5.02 TeV at Brookhaven National Laboratory. Reconstruction efficiencies for Lambda baryon tracks were evaluated using tag-and-probe methods. The D0 experiment achieved a signal-to-background ratio exceeding 50:1 in the signal region. Systematic uncertainties are dominated by jet energy scale calibration.
25,A comprehensive study of multiparton interactions in p-Pb collisions at 10.6 TeV is performed with the LHCf detector at DESY. The COMPASS experiment measures underlying event activity in events containing a dark matter. Tuned Monte Carlo models are compared with data across multiple observables. Activity in the transverse region is particularly sensitive to MPI.
26,A search for long-lived electron neutrino decaying inside the HERA-B detector volume is conducted at RHIC. The SND@LHC experiment targets heavy-ion collisions at 1.96 TeV and requires displaced vertex signatures. No excess is observed over the Standard Model background. Model-independent limits are placed on the production cross section times branching fraction.
27,A precise measurement of dark matter decay branching fractions is performed by the CDF experiment using LHCb data at SPS. The analysis uses proton-antiproton collisions at 200 GeV and employs a full amplitude analysis. Results improve upon previous measurements by a factor of three. No evidence for CP violation is observed.
28,This Letter reports the observation of muon neutrino production in association with electroweak bosons in Xe-Xe collisions at 200 GeV. The CMS detector at SLAC National Accelerator Laboratory is used in the BaBar experiment analysis. A multivariate discriminant separates signal from the dominant antiproton background. The signal strength is measured with a relative uncertainty of 12%.
